There is increasing evidence that even if the exact list of differentially expressed genes that are identified using different platforms overlap only partially, the biological themes represented by these genes are the same .	As there is currently little consensus on the ideal method to select differentially expressed genes this issue tends to lead the microarray researcher to ask the difficult question 'which of these gene lists is correct?' We reasoned that the underlying biological phenomenon under study is most likely being captured within the functional context of the genes within each of the lists despite the lists having different genes. 4
There is increasing evidence that even if the exact list of differentially expressed genes that are identified using different platforms overlap only partially, the biological themes represented by these genes are the same .	In spite of this striking variation the top five biological themes returned by EASE for each of the eight gene lists were virtually the same; all derived from a group of six categories that implicate a vigorous interferon-induced immune response in patients with rebounding HIV viral loads (Table 4).	5
There is increasing evidence that even if the exact list of differentially expressed genes that are identified using different platforms overlap only partially, the biological themes represented by these genes are the same .	The conversion of genes to themes with EASE allowed the underlying biological phenomenon of the experiment to be determined despite substantial differences in gene-list content resulting from the use of various normalization gene intensity and statistical selection methods.	4
There is increasing evidence that even if the exact list of differentially expressed genes that are identified using different platforms overlap only partially, the biological themes represented by these genes are the same .	Rationale	0
There is increasing evidence that even if the exact list of differentially expressed genes that are identified using different platforms overlap only partially, the biological themes represented by these genes are the same .	High-density microarray and proteomics technologies have enabled the discovery of global patterns of biological responses to experimental or natural perturbations .	0
There is increasing evidence that even if the exact list of differentially expressed genes that are identified using different platforms overlap only partially, the biological themes represented by these genes are the same .	Much work has addressed the issues of data normalization and statistical selection of the genes that are significantly modulated or clustered on the basis of expression profiles .	0
There is increasing evidence that even if the exact list of differentially expressed genes that are identified using different platforms overlap only partially, the biological themes represented by these genes are the same .	The net result of these efforts is one or more lists of genes.	0
There is increasing evidence that even if the exact list of differentially expressed genes that are identified using different platforms overlap only partially, the biological themes represented by these genes are the same .	Unfortunately little work has addressed the issue of rapidly identifying biological themes in such lists .	0
There is increasing evidence that even if the exact list of differentially expressed genes that are identified using different platforms overlap only partially, the biological themes represented by these genes are the same .	Most investigators currently annotate genes one-at-a-time using internet-based databases or manual literature searches.	0
There is increasing evidence that even if the exact list of differentially expressed genes that are identified using different platforms overlap only partially, the biological themes represented by these genes are the same .	After this tedious process it can still be a struggle to identify the most salient biological themes in order to make sense of the results and researchers have no systematic way to prioritize these themes for further analysis.	0
There is increasing evidence that even if the exact list of differentially expressed genes that are identified using different platforms overlap only partially, the biological themes represented by these genes are the same .	A parallel issue in interpreting such data is how to exploit the ever-expanding flood of functional genomic data and tools.	0
